Transaction_ID,Customer_ID,Country,Transaction_Amount,Transaction_Timestamp,Merchant_Category,Location_Type,Device_Type,Customer_Avg_Amount,Customer_Amount_Std,Normal_Peak_Hour,Is_New_Device,Fraud_Label
319,IN_CUST_0072,India,90181.51,02-01-2024 01:37,Restaurants,International,POS,23215.15,7580.38,15,Yes,1
2454,GE_CUST_0078,Germany,11673.84,15-01-2024 09:10,Fuel,Domestic,Laptop,12900.17,2658.61,11,No,0
3266,SP_CUST_0023,Spain,10066.94,28-01-2024 17:10,Healthcare,Domestic,Tablet,8403.56,1311.67,16,No,0
2453,GE_CUST_0032,Germany,9602.07,24-01-2024 07:42,Healthcare,Domestic,Mobile,11723.16,2712.92,10,No,0
1492,FR_CUST_0007,France,100000,05-01-2024 02:01,Fashion,International,Mobile,31714.48,9525.42,15,Yes,1
3573,SP_CUST_0065,Spain,100000,05-01-2024 04:52,Healthcare,International,Tablet,30470.98,10276.93,20,Yes,1
1290,FR_CUST_0002,France,37858.55,06-01-2024 21:50,Travel,Domestic,Mobile,26955.72,7864.42,19,No,0
3323,SP_CUST_0047,Spain,43471.04,22-01-2024 15:02,Fashion,Domestic,Mobile,38365.69,6218.59,13,No,0
3519,SP_CUST_0021,Spain,81831.63,06-01-2024 04:20,Groceries,International,Mobile,17627.59,5922.67,14,Yes,1
3394,SP_CUST_0074,Spain,23370.19,11-01-2024 11:29,Restaurants,Domestic,Tablet,19833.02,3437.47,11,No,0
2234,GE_CUST_0073,Germany,58359.84,04-01-2024 04:25,Fuel,International,Mobile,18487.75,5537.44,11,Yes,1
658,IN_CUST_0080,India,34526.41,13-01-2024 04:51,Healthcare,International,POS,8685.16,1334.17,13,Yes,1
1057,FR_CUST_0027,France,100000,25-01-2024 03:34,Groceries,International,POS,39365.61,12098.69,18,Yes,1
2120,GE_CUST_0029,Germany,11338.69,02-01-2024 08:17,Fashion,Domestic,Tablet,18648.24,5847.3,9,No,0
3195,SP_CUST_0020,Spain,16269.08,22-01-2024 04:35,Healthcare,International,POS,3580.65,553.65,11,Yes,1
3895,SP_CUST_0013,Spain,29644.73,06-01-2024 16:08,Electronics,Domestic,Mobile,23833.83,7494.67,14,No,0
1663,FR_CUST_0055,France,69553.87,17-01-2024 01:25,Fashion,International,Mobile,16178.66,5473.86,13,Yes,1
1331,FR_CUST_0042,France,1570.82,20-01-2024 13:15,Restaurants,Domestic,Laptop,2651.69,883.86,9,No,0
1179,FR_CUST_0021,France,9925.2,13-01-2024 08:40,Groceries,Domestic,Mobile,12333.95,3558,11,No,0
3721,SP_CUST_0037,Spain,49955.64,25-01-2024 03:10,Groceries,International,Mobile,14573.71,2972.44,20,Yes,1
2158,GE_CUST_0062,Germany,25556.83,24-01-2024 09:49,Healthcare,Domestic,POS,19806.87,5313.4,11,No,0
299,IN_CUST_0017,India,3467.76,01-01-2024 11:22,Healthcare,Domestic,Laptop,3306.76,1097.4,12,No,0
94,IN_CUST_0023,India,47914.53,29-01-2024 08:26,Groceries,Domestic,Laptop,34092.29,10209.41,13,No,0
2405,GE_CUST_0072,Germany,29303.6,27-01-2024 12:34,Healthcare,Domestic,Tablet,20130.17,7023.68,13,No,0
3549,SP_CUST_0051,Spain,17740.63,07-01-2024 09:42,Fashion,Domestic,POS,13856.05,4599.72,11,No,0
1576,FR_CUST_0041,France,100000,18-01-2024 03:00,Fuel,International,Mobile,26865,5276.38,14,Yes,1
3746,SP_CUST_0063,Spain,15263.98,01-01-2024 14:19,Fuel,Domestic,Laptop,17839.72,4674.75,13,No,0
2887,GE_CUST_0049,Germany,91674.15,05-01-2024 03:40,Restaurants,International,Laptop,22123.76,5092.37,18,Yes,1
1794,FR_CUST_0030,France,10518.89,21-01-2024 02:08,Groceries,International,Mobile,3279.7,1068.65,11,Yes,1
24,IN_CUST_0075,India,100000,14-01-2024 02:57,Restaurants,International,Tablet,26397.2,4403.79,16,Yes,1
3351,SP_CUST_0079,Spain,18681.55,07-01-2024 18:36,Fuel,Domestic,Laptop,22017.22,4697.23,17,No,0
3624,SP_CUST_0041,Spain,100000,02-01-2024 03:36,Groceries,International,Laptop,29482.72,9149.11,17,Yes,1
1732,FR_CUST_0029,France,12232.45,01-01-2024 11:50,Groceries,Domestic,Laptop,10254.77,2489.84,14,No,0
1085,FR_CUST_0042,France,3367.52,17-01-2024 13:05,Groceries,Domestic,Laptop,2651.69,883.86,9,No,0
3992,SP_CUST_0030,Spain,90460.4,28-01-2024 04:05,Restaurants,International,Mobile,26592.38,7642.04,12,Yes,1
2666,GE_CUST_0040,Germany,51947.89,17-01-2024 04:52,Healthcare,International,Mobile,13254.72,3505.3,9,Yes,1
2379,GE_CUST_0003,Germany,37191.15,18-01-2024 04:25,Travel,International,Tablet,11125.76,2388.76,17,Yes,1
1273,FR_CUST_0025,France,100000,11-01-2024 03:01,Electronics,International,Mobile,33303.16,5416.03,13,Yes,1
306,IN_CUST_0052,India,39128.22,14-01-2024 04:43,Groceries,International,Tablet,11648.79,2322.48,15,Yes,1
2903,GE_CUST_0037,Germany,86769.44,03-01-2024 02:34,Restaurants,International,Laptop,18644.83,4320.92,10,Yes,1
2762,GE_CUST_0016,Germany,37862.99,17-01-2024 03:33,Electronics,International,Tablet,11575.93,3868.11,9,Yes,1
599,IN_CUST_0037,India,2234,13-01-2024 15:29,Restaurants,Domestic,POS,2965.93,508.89,15,No,0
3880,SP_CUST_0071,Spain,55463.82,25-01-2024 04:45,Healthcare,International,Tablet,13077.64,3433.43,16,Yes,1
872,IN_CUST_0021,India,92500.07,15-01-2024 01:04,Healthcare,International,Mobile,24720.2,8265.81,16,Yes,1
2546,GE_CUST_0003,Germany,9617.71,04-01-2024 16:52,Groceries,Domestic,Mobile,11125.76,2388.76,17,No,0
2122,GE_CUST_0011,Germany,27735.64,29-01-2024 10:36,Healthcare,Domestic,Mobile,30103.4,5037.02,10,No,0
1361,FR_CUST_0015,France,11940.22,22-01-2024 18:26,Fashion,Domestic,POS,12295.82,2341.75,19,No,0
